Nombre, Annee
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
0,1957
3,1973
4,1973
3,1973
3,1973
4,1973
4,1975
4,2011
3,2011
5,1957
5,1957
2,1957
5,1957
5,1957
1,1957
2,1957
2,1957
2,1957
5,1957
5,1957
2,1957
2,1957
2,1957
5,1957
5,1957
5,1957
5,1957
2,1957
1,1957
2,1957
1,1957
1,1957
1,1957
2,1957
1,1957
1,1957
1,1957
2,1957
2,1957
3,1957
3,1957
4,1957
3,1957
4,1957
4,1957
3,1957
3,1957
3,1957
4,1957
2,1957
2,1957
2,1957
2,1957
2,1957
2,1957
2,1957
2,1957
1,1957
2,1957
4,1957
2,1957
4,1957
2,1957
4,1957
4,1957
2,1957
4,1957
2,1957
1,1957
1,1957
2,1957
2,1957
5,1957
5,1957
5,1957
2,1957
5,1957
5,1957
2,1957
3,1957
5,1957
2,1957
2,1957
2,1957
5,1957
5,1957
2,1957
1,1957
5,1957
5,1957
2,1957
2,1957
2,1957
5,1957
1,1957
5,1957
2,1957
5,1957
5,1957
5,1957
2,1957
2,1957
2,1957
1,1957
5,1957
2,1957
5,1957
5,1957
5,1957
5,1957
1,1957
2,1957
2,1957
5,1957
5,1957
5,1957
2,1957
5,1957
5,1957
2,1957
3,1957
3,1957
4,1957
4,1957
3,1957
3,1957
4,1957
3,1957
4,1957
3,1957
3,1958
4,1958
4,1958
3,1958
3,1958
4,1958
4,1958
3,1958
3,1958
3,1958
4,1958
2,1958
3,1958
2,1958
3,1958
3,1958
3,1958
2,1958
3,1958
2,1958
2,1958
2,1958
5,1958
2,1958
1,1958
2,1958
5,1958
2,1958
5,1958
5,1958
5,1958
3,1958
3,1958
3,1958
3,1958
2,1958
1,1958
2,1958
3,1958
2,1958
2,1958
4,1958
3,1958
3,1958
3,1958
4,1958
3,1958
4,1958
4,1958
3,1958
3,1958
1,1958
4,1958
1,1958
4,1958
3,1958
4,1958
1,1958
1,1958
4,1958
1,1958
2,1958
1,1958
2,1958
5,1958
2,1958
5,1958
5,1958
5,1958
5,1958
2,1958
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4,1983
4,1983
4,1983
4,1983
4
4
3
3
4
4
4
3
4
5
3
5
4
4
4
5
4
5
5
3
0
0
4
0
2,196
3,196
3,196
2,196
1,196
2,196
3,196
2,196
3,196
3,196
4,196
5,196
6,196
5,196
5,196
5,196
6,196
6,196
5,196
6,196
5,196
5,196
4,1962
4,1962
4,1962
5,1962
5,1962
5,1962
4,1962
1,1962
3,1962
4,1962
5,1962
3,1962
3,1962
3,1962
4,1962
3,1962
4,1962
4,1962
4,1962
4,1962
3,1962
