ref;libA;titre;id_lieu;lib;lat;lng;occupation
BL;Antenne - BL;LOGEMENT;86;LOGEMENT - 505020057;49.51929710;0.09385410;Occup
BL;Antenne - BL;LOGEMENT;87;LOGEMENT - 505020060;49.51929710;0.09385410;Occup
BL;Antenne - BL;LOGEMENT;88;LOGEMENT - 505020055;49.51929710;0.09385410;Occup
BL;Antenne - BL;LOGEMENT;89;LOGEMENT - 505020054;49.51929710;0.09385410;Occup
BL;Antenne - BL;LOGEMENT;90;LOGEMENT - 505020052;49.51929710;0.09385410;Occup
BL;Antenne - BL;LOGEMENT;91;LOGEMENT - 505020061;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;92;LOGEMENT - 505020067;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;93;LOGEMENT - 505020065;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;94;LOGEMENT - 505020062;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;95;LOGEMENT - 505020068;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;96;LOGEMENT - 505020064;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;97;LOGEMENT - 505020063;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;98;LOGEMENT - 505020070;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;99;LOGEMENT - 505020066;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;100;LOGEMENT - 505020069;49.51928970;0.09385240;Occup
BL;Antenne - BL;LOGEMENT;103;LOGEMENT - 505030070B;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;105;LOGEMENT - 505030107;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;107;LOGEMENT - 505030104;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;108;LOGEMENT - 505030108;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;110;LOGEMENT - 505030106;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;111;LOGEMENT - 505030101;49.51915120;0.09490940;Vacant
BL;Antenne - BL;LOGEMENT;112;LOGEMENT - 505030105;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;114;LOGEMENT - 505030110;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;115;LOGEMENT - 505030102;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;116;LOGEMENT - 505030109;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;117;LOGEMENT - 505030103;49.51915120;0.09490940;Occup
BL;Antenne - BL;LOGEMENT;118;LOGEMENT - 505030113;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;119;LOGEMENT - 505030115;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;120;LOGEMENT - 505030117;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;121;LOGEMENT - 505030112;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;122;LOGEMENT - 505030111;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;123;LOGEMENT - 505030114;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;124;LOGEMENT - 505030119;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;125;LOGEMENT - 505030118;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;126;LOGEMENT - 505030120;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;127;LOGEMENT - 505030116;49.51911310;0.09511810;Occup
BL;Antenne - BL;LOGEMENT;128;LOGEMENT - 505030078;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;129;LOGEMENT - 505030080;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;130;LOGEMENT - 505030076;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;131;LOGEMENT - 505030072;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;132;LOGEMENT - 505030075;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;133;LOGEMENT - 505030074;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;134;LOGEMENT - 505030071;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;135;LOGEMENT - 505030073;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;136;LOGEMENT - 505030077;49.51934180;0.09386610;Vacant
BL;Antenne - BL;LOGEMENT;137;LOGEMENT - 505030079;49.51934180;0.09386610;Occup
BL;Antenne - BL;LOGEMENT;138;LOGEMENT - 505030081;49.51930370;0.09407480;Vacant
BL;Antenne - BL;LOGEMENT;139;LOGEMENT - 505030085;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;140;LOGEMENT - 505030089;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;141;LOGEMENT - 505030084;49.51930370;0.09407480;Vacant
BL;Antenne - BL;LOGEMENT;142;LOGEMENT - 505030082;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;143;LOGEMENT - 505030090;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;144;LOGEMENT - 505030083;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;145;LOGEMENT - 505030086;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;146;LOGEMENT - 505030088;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;147;LOGEMENT - 505030087;49.51930370;0.09407480;Occup
BL;Antenne - BL;LOGEMENT;148;LOGEMENT - 505030091;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;149;LOGEMENT - 505030094;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;150;LOGEMENT - 505030099;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;151;LOGEMENT - 505030093;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;152;LOGEMENT - 505030100;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;153;LOGEMENT - 505030096;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;154;LOGEMENT - 505030095;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;155;LOGEMENT - 505030092;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;156;LOGEMENT - 505030097;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;157;LOGEMENT - 505030098;49.51922750;0.09449210;Occup
BL;Antenne - BL;LOGEMENT;160;LOGEMENT - 505040120B;49.51928970;0.09385240;Occup
