idLieu,lat,lng,nbEnfants
5893,49.51375660,0.17269790,2
5894,49.51375660,0.17269790,0
5895,49.51375660,0.17269790,0
5896,49.51375660,0.17269790,0
5897,49.51375660,0.17269790,0
5898,49.51375660,0.17269790,0
5899,49.51384820,0.17304000,0
5900,49.51384820,0.17304000,0
5901,49.51384820,0.17304000,0
5902,49.51384820,0.17304000,0
5903,49.51384820,0.17304000,0
5904,49.51384820,0.17304000,0
5905,49.51384820,0.17304000,1
5906,49.51384820,0.17304000,0
5907,49.51384820,0.17304000,0
5910,49.51772200,0.17392680,0
5912,49.51772200,0.17392680,0
5913,49.51772200,0.17392680,0
5914,49.51772200,0.17392680,0
5916,49.51772200,0.17392680,0
5918,49.51772200,0.17392680,1
5919,49.51772200,0.17392680,0
5920,49.51772200,0.17392680,0
5921,49.51772200,0.17392680,0
5923,49.51772200,0.17392680,0
5924,49.51772200,0.17392680,0
5925,49.51772200,0.17392680,2
5926,49.51772200,0.17392680,0
5927,49.51772200,0.17392680,2
5928,49.51772200,0.17392680,2
5929,49.51772200,0.17392680,0
5930,49.51772200,0.17392680,0
5931,49.51772200,0.17392680,0
5932,49.51772200,0.17392680,1
5933,49.51772200,0.17392680,0
5937,49.51772200,0.17392680,0
5938,49.51772200,0.17392680,0
5939,49.51772200,0.17392680,0
5940,49.51772200,0.17392680,0
5941,49.51772200,0.17392680,0
5942,49.51772200,0.17392680,0
5945,49.51829510,0.17402620,0
5947,49.51829510,0.17402620,0
5948,49.51829510,0.17402620,0
5950,49.51829510,0.17402620,0
5952,49.51829510,0.17402620,0
5953,49.51829510,0.17402620,0
5954,49.51829510,0.17402620,0
5955,49.51829510,0.17402620,0
5956,49.51829510,0.17402620,0
5957,49.51829510,0.17402620,0
5959,49.51829510,0.17402620,0
5960,49.51829510,0.17402620,0
5961,49.51829510,0.17402620,0
5962,49.51829510,0.17402620,0
5963,49.51829510,0.17402620,0
5964,49.51829510,0.17402620,0
5965,49.51829510,0.17402620,0
5966,49.51829510,0.17402620,3
5967,49.51829510,0.17402620,0
5968,49.51829510,0.17402620,0
5972,49.51829510,0.17402620,0
5973,49.51829510,0.17402620,0
5974,49.51829510,0.17402620,0
5975,49.51829510,0.17402620,0
5976,49.51829510,0.17402620,0
5979,49.51679480,0.17250360,0
5981,49.51679480,0.17250360,0
5983,49.51679480,0.17250360,0
5985,49.51679480,0.17250360,0
5986,49.51679480,0.17250360,0
5987,49.51679480,0.17250360,0
5988,49.51679480,0.17250360,0
5990,49.51679480,0.17250360,0
5991,49.51679480,0.17250360,1
5992,49.51691070,0.17275490,0
5993,49.51691070,0.17275490,1
5994,49.51691070,0.17275490,1
5995,49.51691070,0.17275490,0
5996,49.51691070,0.17275490,0
5997,49.51691070,0.17275490,0
5998,49.51691070,0.17275490,1
5999,49.51691070,0.17275490,0
6000,49.51691070,0.17275490,0
6001,49.51707490,0.17289650,0
6002,49.51707490,0.17289650,0
6003,49.51707490,0.17289650,0
6004,49.51707490,0.17289650,0
6005,49.51707490,0.17289650,0
6006,49.51707490,0.17289650,0
6007,49.51707490,0.17289650,0
6008,49.51707490,0.17289650,0
6009,49.51707490,0.17289650,1
6010,49.51727360,0.17286340,2
6011,49.51727360,0.17286340,0
6012,49.51727360,0.17286340,3
6013,49.51727360,0.17286340,0
6014,49.51727360,0.17286340,0
6015,49.51727360,0.17286340,0
6016,49.51727360,0.17286340,2
6017,49.51727360,0.17286340,0
6018,49.51727360,0.17286340,2
6019,49.51747240,0.17283030,0
6020,49.51747240,0.17283030,0
6021,49.51747240,0.17283030,0
6022,49.51747240,0.17283030,0
6023,49.51747240,0.17283030,0
6024,49.51747240,0.17283030,0
6025,49.51747240,0.17283030,0
6026,49.51747240,0.17283030,1
6027,49.51747240,0.17283030,0
6028,49.51767070,0.17278780,1
6029,49.51767070,0.17278780,0
6030,49.51767070,0.17278780,0
6031,49.51767070,0.17278780,0
6032,49.51767070,0.17278780,1
6033,49.51767070,0.17278780,0
6034,49.51767070,0.17278780,3
6035,49.51767070,0.17278780,1
6036,49.51767070,0.17278780,0
6037,49.51639430,0.17171350,0
6038,49.51639430,0.17171350,0
6039,49.51639430,0.17171350,0
6040,49.51639430,0.17171350,0
6041,49.51639430,0.17171350,0
6042,49.51639430,0.17171350,0
6043,49.51639430,0.17171350,1
6044,49.51654860,0.17201680,0
6045,49.51654860,0.17201680,1
6046,49.51654860,0.17201680,0
6047,49.51654860,0.17201680,0
6048,49.51654860,0.17201680,0
6049,49.51654860,0.17201680,0
6050,49.51654860,0.17201680,0
6051,49.51670300,0.17232010,0
6052,49.51670300,0.17232010,0
6053,49.51670300,0.17232010,0
6054,49.51670300,0.17232010,0
6055,49.51670300,0.17232010,0
6056,49.51670300,0.17232010,0
6057,49.51670300,0.17232010,2
6058,49.51639290,0.17171340,0
6059,49.51639290,0.17171340,0
6060,49.51639290,0.17171340,0
6061,49.51639290,0.17171340,0
6062,49.51639290,0.17171340,0
6063,49.51639290,0.17171340,0
6064,49.51639290,0.17171340,0
6065,49.51579020,0.17180030,2
6066,49.51579020,0.17180030,0
6067,49.51579020,0.17180030,0
6068,49.51579020,0.17180030,0
6069,49.51579020,0.17180030,1
6070,49.51579020,0.17180030,0
6071,49.51579020,0.17180030,0
6072,49.51599220,0.17178500,0
6073,49.51599220,0.17178500,0
6074,49.51599220,0.17178500,0
6075,49.51599220,0.17178500,0
6076,49.51599220,0.17178500,0
6077,49.51599220,0.17178500,0
6078,49.51599220,0.17178500,0
6079,49.51619260,0.17174920,0
6080,49.51619260,0.17174920,0
6081,49.51619260,0.17174920,2
6082,49.51619260,0.17174920,0
6083,49.51619260,0.17174920,0
6084,49.51619260,0.17174920,0
6085,49.51619260,0.17174920,0
6089,49.51727360,0.17286340,0
6091,49.51747240,0.17283030,0
6093,49.51579020,0.17180030,0
6095,49.51579020,0.17180030,0
6097,49.51579020,0.17180030,0
6098,49.51579020,0.17180030,0
6099,49.51579020,0.17180030,0
6100,49.51579020,0.17180030,0
6101,49.51579020,0.17180030,0
6102,49.51579020,0.17180030,0
6103,49.51579020,0.17180030,0
6104,49.51579020,0.17180030,0
6105,49.51579020,0.17180030,0
6106,49.51579020,0.17180030,0
6107,49.51579020,0.17180030,0
6108,49.51579020,0.17180030,0
6109,49.51579020,0.17180030,0
6110,49.51579020,0.17180030,0
